Metric,LongPosV1,LongPosV2,ShortPosV1,ShortPosV2
Mean,0.05271562623602965,0.05028156856202546,0.19291909955296507,0.20264578843080294
StDev,0.007034946481059259,0.00857678219138887,0.025890388336395644,0.02022375483732691
Max,0.056954216867469876,0.05911071428571429,0.23422909090909091,0.22666666666666668
Min,0.026840625000000003,0.01984666666666667,0.15923285714285715,0.1705705882352941
