date,lo20,hi20,lo10,hi10
201912,2.96,5.58,2.6,6.69
202001,1.18,1.16,1.09,-3.47
202002,-8.97,-4.01,-8.41,-4.2
202003,-11.88,-20.85,-12.37,-21.71
202004,12.76,35.57,13.28,38.62
202005,4.88,7.45,4.38,13.24
202006,2.41,9.46,2.84,11.29
202007,6.19,6.48,5.94,8.97
202008,6.91,4.52,7.14,1.91
202009,-3.06,-5.75,-3.27,2.8
202010,-2.09,-4.34,-2.02,-5.4
202011,9.35,23.81,9.19,28.88
202012,3.85,9.77,3.1,12.4
202101,-1.42,11.88,-1.63,17.91
202102,2.65,-4.29,2.27,-5.45
202103,5.31,-6.25,5.2,-6.96
202104,5.47,-0.97,5.42,-2.46
202105,0.19,-0.61,-0.28,-1.31
202106,1.85,11.04,2.67,9.68
202107,2.92,-5.6,3.89,-11.03
202108,3.21,2.67,3.64,4.46
202109,-5.07,-4.06,-5.11,-4.39
202110,7.48,3.06,8.45,-0.72
202111,-0.13,-6.13,0.28,-7.52
202112,5.61,-8.37,5.32,-11.79
202201,-3.36,-17.31,-2.87,-22.2
202202,-1.06,-2.97,-1.09,-4.04
202203,3.55,5.94,4.27,0.14
202204,-7,-18.59,-6.65,-19.83
202205,-0.61,-4.16,-1.15,-3.82
202206,-6,-11.07,-6.23,-10.89
202207,8.23,14.4,9.42,14.69
202208,-3.57,1.43,-3.93,2.82
202209,-9.03,-10.21,-8.87,-11.32
202210,8.96,4.62,8.74,2.07
202211,5.3,3.01,6.93,-2.99
202212,-4.82,-6.3,-3.84,-8.04
202301,3.27,19.46,3.94,15.14
202302,-1.51,1.68,-1.41,4.27
202303,3.38,2.56,3.01,0.28
202304,2.81,-5.45,3.28,-4.88
202305,-2.34,11.06,-1.43,8.08
202306,6.55,7.36,6.65,4.65
202307,1.99,8.22,1.87,9.65
202308,-1.4,-3.9,-1.96,-12.16
202309,-4.33,-7.83,-4.76,-8.98
202310,-0.77,-8.37,0.45,-8.36
202311,8.53,15.79,9.06,11.48
202312,3.75,14.43,3.8,18.46
202401,1.35,-5.69,1.47,-7.85
202402,3.87,8.79,4.01,14.34
202403,2.33,0.83,1.19,2.7
202404,-3.65,-6.44,-4.79,-9.78
202405,2.98,3.46,3.5,2.09
202406,2.04,1.66,1.94,2.95
202407,2.71,5.36,1.37,7.79
202408,2.45,0.07,2.94,-1.67
202409,0.86,7.01,0.62,1.53
202410,-1.4,-0.71,-2.69,1.18
202411,6.26,20.59,5.99,26.04
202412,-2.83,-0.32,-4.2,3.88
