date,lo20,hi20,lo10,hi10
197603,3.23,2.36,3.24,1.21
197604,-0.41,-3.06,-0.5,-3.63
197605,-1,-2.39,-1.37,-3.56
197606,3.92,4.7,3.63,4.06
197607,-0.52,-1.33,-0.66,-1.42
197608,0.61,-3.76,0.78,-3.89
197609,2.69,2.74,2.51,1.3
197610,-1.75,-2.91,-1.69,-3.78
197611,0.07,3.89,0.15,2.63
197612,5.28,10.01,5.25,12.11
197701,-4.28,0.75,-3.45,2.09
197702,-1.25,-2.66,-1.22,-1.47
197703,-1.56,0.08,-1.49,-0.17
197704,0.18,0.74,0.21,0.27
197705,-0.84,-0.55,-0.42,-0.7
197706,4.16,7.96,4.02,7.39
197707,-0.83,-1.3,-0.68,-1.38
197708,-1.98,-0.89,-1.85,-1.74
197709,0.32,0.21,0.56,0.35
197710,-3.65,-4.12,-3.42,-4.46
197711,3.11,8.7,2.54,6.82
197712,0.49,1.03,0.81,0.34
197801,-5.47,-2.07,-5.3,-0.91
197802,-1.01,1.14,-0.58,1.53
197803,1.99,7.05,1.43,6.57
197804,7.82,7.74,6.99,7.07
197805,0.52,7.95,-0.07,8.65
197806,-1.43,-0.44,-1.27,0.32
197807,4.58,5.62,4.21,3.9
197808,2.98,8.21,3.2,9.98
197809,0.01,-2.58,0.14,-2.39
197810,-7.23,-26.04,-6.39,-27.4
197811,2.34,8.67,2.8,9.12
197812,1.73,0.85,1.92,0
197901,3.83,9.68,3.71,9.38
197902,-2.54,-2.23,-2.47,-2.46
197903,4.39,11.36,3.97,10.56
197904,0.35,2.76,0.08,3.45
197905,-1.23,-2.07,-1.27,-2.66
197906,3.14,6.01,2.55,5.58
197907,0.81,0.14,0.44,-0.91
197908,5.26,6.08,4.62,4.81
197909,-0.59,-0.24,-1.75,-0.72
197910,-6.22,-11.05,-5.75,-12.19
197911,4.36,8.23,3.97,7.04
197912,0.25,7.59,-0.45,7.71
198001,4.03,9.59,3.64,10.39
198002,-1.37,0.38,-0.39,1
198003,-6.76,-23.24,-5.84,-25.51
198004,5,6.89,5.62,6.56
198005,5.39,7.14,5.08,7.61
198006,3.25,5.35,2.71,4.66
198007,5.44,7.96,4.92,5.79
198008,1.35,6.85,1.55,6.76
198009,1.03,4.5,0.18,4.1
198010,0.35,3.87,0.64,4.71
198011,7.52,13.15,4.51,9.88
198012,0.83,-6.53,0.47,-8.06
198101,-0.67,-4.7,0.15,-5.59
198102,2.21,0.52,2.55,0.63
198103,2.74,6.09,2.4,5.03
198104,-0.51,-0.69,-0.88,-1.89
198105,0.67,2.12,1,1.1
198106,0.58,-5.83,0.44,-5.6
198107,-1.57,1.07,-1.14,0.73
198108,-3.8,-8.51,-3.53,-8.23
198109,-2.97,-13.93,-1.76,-14.43
198110,3.78,10.42,2.02,9.69
198111,4.86,2.68,5.45,2.64
198112,-1.73,-5.58,-1.54,-7.19
198201,-0.16,-6.98,0.76,-7.89
198202,-3.14,-7.72,-2.29,-8.22
198203,-0.06,-3.19,0.54,-3.78
198204,3.05,5.39,2.68,3.37
198205,-1.75,-4.82,-1.68,-5.68
198206,-0.89,-5.02,-0.77,-7.95
198207,-0.51,-5.13,0.22,-4.11
198208,11.63,9.76,11.17,7.13
198209,1.51,1.3,1.51,-0.35
198210,9.11,15.35,8.92,12.01
198211,4.76,6.22,4.17,4.44
198212,1.64,1.34,2.92,1.94
198301,3.86,8.26,5.29,8.27
198302,2.72,1.74,1.9,-0.73
198303,2.2,1.94,2.13,1.75
198304,7.62,9.15,7.84,9.21
198305,-1.78,8.43,-1.94,10.36
198306,2.63,5.71,1.69,3.9
198307,-1.46,-6.94,-0.43,-6.81
198308,1.49,-2.25,2.47,-4.03
198309,3.18,-0.82,3.45,-2.3
198310,0.43,-10.42,0.71,-11.2
198311,0.86,5.31,-0.56,4.34
198312,-0.93,-3.29,-0.38,-3.89
198401,-0.55,-1.82,-0.37,0.01
198402,-3.84,-5.39,-3.34,-5.06
198403,1.38,-0.46,0.97,-1.36
198404,1.09,-1.03,1.54,-0.7
198405,-3.58,-7.04,-3.53,-6.6
198406,2.29,1.84,1.93,1.82
198407,-0.05,-5.95,0.4,-7.25
198408,8.98,12.7,8.28,10.51
198409,1.44,-1.92,1.74,-2.6
198410,1.32,-3,1.43,-4.42
198411,-0.31,-4.68,-0.28,-5.07
198412,2.28,1.62,2.14,-0.34
198501,6.78,13.57,6.02,14.12
198502,1.57,1.71,1.61,2.67
198503,0.67,-3.2,0.39,-6.54
198504,0.67,-3.93,0.78,-4.4
198505,5.78,2.33,5.32,0.89
198506,1.91,0.54,2.09,0.07
198507,-0.53,1.36,-0.3,1.06
198508,-0.01,-2.44,-0.3,-2.31
